Titles,Install,Vote
Tempo Timesheets-Time Tracking & Reports,25.1k,(434)
Better PDF Exporter for Jira,N/A,(255)
Timesheet Reports and Gadgets,11.5k,(219)
Timesheet tracking for Jira,8.6k,(59)
Structure.Gantt - Planning at Scale,N/A,(18)
Agile Poker for Jira-planning&estimation,N/A,(84)
Planning Poker Â®,N/A,(101)
eazyBI Reports and Charts for Jira,4.1k,(105)
Time Reports,5.4k,(104)
Better Excel Exporter for Jira,2.5k,(138)
WBS Gantt-Chart for Jira,5.1k,(95)
eazyBI Reports and Charts for Jira Cloud,3.5k,(70)
Team Worklog Reports,2.7k,(33)
Reports and Timesheets for Jira,2k,(77)
Timetracker - Time Tracking & Reporting,2.1k,(58)
Work Time Calendar for Jira,1.7k,(62)
Time in Status,2.1k,(39)
Time to SLA,1.4k,(59)
Automated Log Work for Jira,2.3k,(97)
Worklogs - Time Tracking and Reports,1.4k,(44)
Issue History Collector | See History,1.6k,(31)
My.com Calendar,921,(258)
Links Hierarchy Jira+Agile,1.2k,(21)
Capacity Tracker,1.1k,(19)
